"Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:"
"Other","Probability of consecutive infection due to persistence",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.75,0.2,1,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Other","Probability of consecutive infection due to persistence",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.39,0.17,0.6,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Other","Probability of consecutive infection due to persistence",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.85,0.57,1,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Other","Probability of consecutive infection due to persistence",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.68,0.56,0.8,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Other","Probability of consecutive infection due to persistence",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.49,0.4,0.58,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Transmission parameter",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC (O:2; 15; 20; 26; 84; 103; 113; 128ab; 162; 168. E: 40874; 54071)","Cattle","Beef",NA,"Calves","Scottish Beef Farm",NA,NA,NA,0.004,0.002,0.009,NA,NA,NA,"Liu et al., 2005","10.1017/S0950268804003644","AA"
"Other","external transmission coefficent","θ","SIS",NA,"Experimental Field","E. coli","VTEC (O:2; 15; 20; 26; 84; 103; 113; 128ab; 162; 168. E: 40874; 54071)","Cattle","Beef",NA,"Calves","Scottish Beef Farm",NA,NA,NA,0.001,5e-04,0.00325,NA,NA,NA,"Liu et al., 2005","10.1017/S0950268804003644","AA"
"Other","single infection","%","SIS",NA,"Experimental Field","E. coli","VTEC (O:2; 15; 20; 26; 84; 103; 113; 128ab; 162; 168. E: 40874; 54071)","Cattle","Beef",NA,NA,NA,NA,NA,NA,0.76,0.63,0.93,NA,NA,NA,"Liu et al., 2005","10.1017/S0950268804003644","AA"
"Other","double infection","%","SIS",NA,"Experimental Field","E. coli","VTEC (O:2; 15; 20; 26; 84; 103; 113; 128ab; 162; 168. E: 40874; 54071)","Cattle","Beef",NA,"Calves","Scottish Beef Farm",NA,NA,NA,0.189,0.05,0.31,NA,NA,NA,"Liu et al., 2005","10.1017/S0950268804003644","AA"
"Transmission parameter",NA,NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.0244,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Transmission parameter",NA,NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.001269,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Transmission parameter",NA,NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.00325,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Transmission parameter",NA,NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,9e-04,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Probability of transmission via indirect contact",NA,"z	Group-specific indirect transmission parameter (per animal per day)",NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.904e-10,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Probability of transmission via indirect contact",NA,"z	Group-specific indirect transmission parameter (per animal per day)",NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,4.18e-12,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Probability of transmission via indirect contact",NA,"z	Group-specific indirect transmission parameter (per animal per day)",NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.475e-08,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Probability of transmission via indirect contact",NA,"z	Group-specific indirect transmission parameter (per animal per day)",NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.325e-08,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Probability of transmission via indirect contact",NA,"s	“General” indirect transmission parameter (per animal per day)",NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Probability of transmission via indirect contact",NA,"s	“General” indirect transmission parameter (per animal per day)",NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.005,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Probability of transmission via indirect contact",NA,"s	“General” indirect transmission parameter (per animal per day)",NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,"Turner et al., 2003","https://doi.org/10.1016/j.jtbi.2006.01.020","AA"
"Transmission parameter",NA,NA,NA,NA,"Other","E. coli",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,0.62,0.19,2.06,NA,NA,NA,"Geenen et al., 2004","https://doi.org/10.1017/s0950268804002675","AA"
"Transmission parameter",NA,NA,NA,NA,"Other","E. coli",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,0,0,1.98,NA,NA,NA,"Geenen et al., 2004","https://doi.org/10.1017/s0950268804002675","AA"
"Transmission parameter",NA,NA,NA,NA,"Other","E. coli",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,0.16,0.03,0.75,NA,NA,NA,"Geenen et al., 2004","https://doi.org/10.1017/s0950268804002675","AA"
"Transmission parameter",NA,NA,NA,NA,"Other","E. coli",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,0.58,0.19,1.75,NA,NA,NA,"Geenen et al., 2004","https://doi.org/10.1017/s0950268804002675","AA"
"Transmission parameter",NA,NA,NA,NA,"Other","E. coli",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,0.15,0.03,0.66,NA,NA,NA,"Geenen et al., 2004","https://doi.org/10.1017/s0950268804002675","AA"
"Transmission parameter","Equal transmission parameters (βL) for all shedding pigs with bacterial counts above the threshold value (5*103 CFU/g).","βL","SIR",NA,"Experimental Stable","E. coli","ciprofloxacin resistant","Pigs","SPF","Large White","7 weeks (at start of experiment)",NA,NA,NA,NA,0.55,0.4,0.74,NA,NA,NA,"Andraud et al., 2011","https://doi.org/10.1186%2F1297-9716-42-44","AA"
"Transmission parameter","Equal transmission parameters (βL) for all shedding pigs with bacterial counts above the threshold value (5*103 CFU/g).","βL","SIR",NA,"Experimental Stable","E. coli","ciprofloxacin resistant","Pigs","SPF","Large White","7 weeks (at start of experiment)",NA,NA,NA,NA,0.41,0.27,0.62,NA,NA,NA,"Andraud et al., 2011","https://doi.org/10.1186%2F1297-9716-42-44","AA"
"Transmission parameter","Equal transmission parameters (βL) for all shedding pigs with bacterial counts above the threshold value (5*103 CFU/g).","βL","SIR",NA,"Experimental Stable","E. coli","ciprofloxacin resistant","Pigs","SPF","Large White","7 weeks (at start of experiment)",NA,NA,NA,NA,0.41,0.23,0.71,NA,NA,NA,"Andraud et al., 2011","https://doi.org/10.1186%2F1297-9716-42-44","AA"
"Transmission parameter","Two transmission parameters according to bacterial counts: βLfor low-shedders (bacterial counts between 5*103 and 106 CFU/g) and βHfor high-shedders (bacterial counts above 106 CFU/g).","βM","SIR",NA,"Experimental Stable","E. coli","ciprofloxacin resistant","Pigs","SPF","Large White","7 weeks (at start of experiment)",NA,NA,NA,NA,0.42,0.15,1.19,NA,NA,NA,"Andraud et al., 2011","https://doi.org/10.1186%2F1297-9716-42-44","AA"
"Transmission parameter","Three transmission parameters according to bacterial counts: βLfor low-shedders (bacterial counts between 5*103 and 105 CFU/g), βMfor moderate-shedders (bacterial counts between 105 and 106 CFU/g), and βHfor high-shedders (bacterial counts above 106 CFU/g).","βH","SIR",NA,"Experimental Stable","E. coli","ciprofloxacin resistant","Pigs","SPF","Large White","7 weeks (at start of experiment)",NA,NA,NA,NA,0.98,0.59,1.62,NA,NA,NA,"Andraud et al., 2011","https://doi.org/10.1186%2F1297-9716-42-44","AA"
"Transmission parameter","all groups",NA,"SI",NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,NA,4.53,NA,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","Ceccarelli et al., 2017","https://doi.org/10.1128/AEM.03439-16","AA"
"Transmission parameter","control",NA,"SI",NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,0.669,0.334,1.18,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","Ceccarelli et al., 2017","https://doi.org/10.1128/AEM.03439-16","AA"
"Transmission parameter","I group",NA,"SI",NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,0.331,0.151,0.617,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","Ceccarelli et al., 2017","https://doi.org/10.1128/AEM.03439-16","AA"
"Transmission parameter","S group",NA,"SI",NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,4.68,2.09,9.95,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","Ceccarelli et al., 2017","https://doi.org/10.1128/AEM.03439-16","AA"
"Other","control","excretion of E. coli in faeces (CFU/g)","SI",NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,5.68,NA,NA,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","Ceccarelli et al., 2017","https://doi.org/10.1128/AEM.03439-16","AA"
"Other","I group","excretion of E. coli in faeces (CFU/g)","SI",NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,1.17,NA,NA,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","Ceccarelli et al., 2017","https://doi.org/10.1128/AEM.03439-16","AA"
"Other","S group","excretion of E. coli in faeces (CFU/g)","SI",NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,2.22,NA,NA,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","Ceccarelli et al., 2017","https://doi.org/10.1128/AEM.03439-16","AA"
"Transmission parameter","per chicken per week","per week",NA,NA,"Observational","E. coli","ESBL","Chicken","Broiler",NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,"We present here a multidirectional dynamic risk model for ESBL-EC transmission between broiler flocks, broiler farmers, and the open community, parameterized for the Netherlands. A discrete-time model was used to describe the transmission of ESBL-EC within and between populations including modeling the flock-to-human transmission via food consumption due to contamination at the slaughterhouse and/or during food preparation.","de Freitas Costa et al., 2022","https://doi.org/10.1016/j.mran.2022.100230","AA"
"Transmission parameter","per chicken per week (antimicrobial use)",NA,NA,NA,"Observational","E. coli","ESBL","Chicken","Broiler",NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,"We present here a multidirectional dynamic risk model for ESBL-EC transmission between broiler flocks, broiler farmers, and the open community, parameterized for the Netherlands. A discrete-time model was used to describe the transmission of ESBL-EC within and between populations including modeling the flock-to-human transmission via food consumption due to contamination at the slaughterhouse and/or during food preparation.","de Freitas Costa et al., 2022","https://doi.org/10.1016/j.mran.2022.100230","AA"
"Probability of transmission via direct contact","direct contact with ESBL-EC carrier farmer","per week",NA,NA,"Observational","E. coli","ESBL","Chicken","Broiler",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"We present here a multidirectional dynamic risk model for ESBL-EC transmission between broiler flocks, broiler farmers, and the open community, parameterized for the Netherlands. A discrete-time model was used to describe the transmission of ESBL-EC within and between populations including modeling the flock-to-human transmission via food consumption due to contamination at the slaughterhouse and/or during food preparation.","de Freitas Costa et al., 2022","https://doi.org/10.1016/j.mran.2022.100230","AA"
"Reproduction number",NA,NA,NA,NA,"Experimental Field","E. coli","ESBL/AmpC","Chicken","Broiler",NA,NA,"organic broiler flock",NA,NA,NA,1.7,0.55,5.25,NA,NA,"The aim was quantifying transmission rates and routes of ESBL/AmpC-EC, and specific phylogenetic groups, in an organic broiler flock without antibiotic use. In each of two consecutive production rounds, 80 randomly chosen broilers were followed individually. Cloacal swabs from these, 20 other randomly chosen broilers, and 11 environmental samples were taken at several moments from arrival till slaughter. ESBL/AmpC-EC were isolated by selective pre-enrichment, and ESBL/AmpC-genes and E. coli phylogenetic groups were determined. Transmission parameters (β) were estimated using a Generalised Linear Model with a susceptible-infectious-susceptible model. Effect of direct broiler contact as compared to contact through the environment and previous carriage c.q. infectious status and their interaction were included as explanatory variables. Multiplying β by the length of the infectious period gives the reproduction ratio (R).","Huijbers et al., 2016","https://doi.org/10.1016/j.prevetmed.2016.07.001","AA"
