"","Parameter","Test Type","Pathogen","Host","Host type","Host breed","Host Age (group)","Host other characterics","study","Type of sample","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"354","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaTEM-1A","Experimental","Cultured Samples",0.95,0.83,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"355","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","blaTEM-1A","Experimental","Cultured Samples",0.96,0.89,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"356","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ blaTEM-106","Experimental","Cultured Samples",0.96,0.89,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"357","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ ampC prom PM","Experimental","Cultured Samples",0.96,0.89,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"358","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","blaTEM-1A","Experimental","Cultured Samples",0.94,0.87,0.98,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"359","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ blaTEM-106","Experimental","Cultured Samples",0.94,0.87,0.98,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"360","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ ampC prom PM","Experimental","Cultured Samples",0.94,0.87,0.98,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"361","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"cefalexin","cefalexin","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"362","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"colistin","mcr1.1","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"363","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"colistin","+ mcr2.1","Experimental","Cultured Samples",0.98,0.92,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"364","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"colistin","+ mcr5.1","Experimental","Cultured Samples",0.98,0.92,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"365","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"apramycin","aac3IV","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"366","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"apramycin","+ aac3IVa","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"367","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","aac3IV","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"368","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IVa","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"369","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IId","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"370","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","aac3IV","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"371","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IVa","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"372","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IId","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"373","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"kanamycin-paromomycin","aph3Ia","Experimental","Cultured Samples",0.97,0.91,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"374","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","aad1","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"375","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad10","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"376","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad12","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"377","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad2","Experimental","Cultured Samples",0.85,0.76,0.92,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"378","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","aad1","Experimental","Cultured Samples",1,0.95,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"379","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad10","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"380","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad12","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"381","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad2","Experimental","Cultured Samples",0.88,0.79,0.95,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
