"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Transmission parameter","I group",NA,"SI",NA,NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,0.331,0.151,0.617,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","10.1128/aem.03439-16","doi_invalid",2026-06-25,"Ceccarelli et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,0.331,"Transmission","Transmission*673"
"Transmission parameter","S group",NA,"SI",NA,NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,4.68,2.09,9.95,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","10.1128/aem.03439-16","doi_invalid",2026-06-25,"Ceccarelli et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,4.68,"Transmission","Transmission*674"
"Other","control","excretion of E. coli in faeces (CFU/g)","SI",NA,NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,5.68,NA,NA,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","10.1128/aem.03439-16","doi_invalid",2026-06-25,"Ceccarelli et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,5.68,"Transmission","Transmission*675"
"Other","I group","excretion of E. coli in faeces (CFU/g)","SI",NA,NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,1.17,NA,NA,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","10.1128/aem.03439-16","doi_invalid",2026-06-25,"Ceccarelli et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,1.17,"Transmission","Transmission*676"
"Other","S group","excretion of E. coli in faeces (CFU/g)","SI",NA,NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,2.22,NA,NA,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","10.1128/aem.03439-16","doi_invalid",2026-06-25,"Ceccarelli et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,2.22,"Transmission","Transmission*677"
"Transmission parameter","per chicken per week","per week",NA,NA,NA,"Observational","E. coli","ESBL","Chicken","Broiler",NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,"We present here a multidirectional dynamic risk model for ESBL-EC transmission between broiler flocks, broiler farmers, and the open community, parameterized for the Netherlands. A discrete-time model was used to describe the transmission of ESBL-EC within and between populations including modeling the flock-to-human transmission via food consumption due to contamination at the slaughterhouse and/or during food preparation.","10.1016/j.mran.2022.100230","doi_invalid",2026-06-25,"de Freitas Costa et al., 2022",2022,"Alistair Antonopoulos",2025-08-28,0.7,"Transmission","Transmission*678"
"Transmission parameter","per chicken per week (antimicrobial use)",NA,NA,NA,NA,"Observational","E. coli","ESBL","Chicken","Broiler",NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,"We present here a multidirectional dynamic risk model for ESBL-EC transmission between broiler flocks, broiler farmers, and the open community, parameterized for the Netherlands. A discrete-time model was used to describe the transmission of ESBL-EC within and between populations including modeling the flock-to-human transmission via food consumption due to contamination at the slaughterhouse and/or during food preparation.","10.1016/j.mran.2022.100230","doi_invalid",2026-06-25,"de Freitas Costa et al., 2022",2022,"Alistair Antonopoulos",2025-08-28,0.46,"Transmission","Transmission*679"
"Probability of transmission via direct contact","direct contact with ESBL-EC carrier farmer","per week",NA,NA,NA,"Observational","E. coli","ESBL","Chicken","Broiler",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"We present here a multidirectional dynamic risk model for ESBL-EC transmission between broiler flocks, broiler farmers, and the open community, parameterized for the Netherlands. A discrete-time model was used to describe the transmission of ESBL-EC within and between populations including modeling the flock-to-human transmission via food consumption due to contamination at the slaughterhouse and/or during food preparation.","10.1016/j.mran.2022.100230","doi_invalid",2026-06-25,"de Freitas Costa et al., 2022",2022,"Alistair Antonopoulos",2025-08-28,0.01,"Transmission","Transmission*680"
"Reproduction number",NA,NA,NA,NA,NA,"Experimental Field","E. coli","ESBL/AmpC","Chicken","Broiler",NA,NA,"organic broiler flock",NA,NA,NA,1.7,0.55,5.25,NA,NA,"The aim was quantifying transmission rates and routes of ESBL/AmpC-EC, and specific phylogenetic groups, in an organic broiler flock without antibiotic use. In each of two consecutive production rounds, 80 randomly chosen broilers were followed individually. Cloacal swabs from these, 20 other randomly chosen broilers, and 11 environmental samples were taken at several moments from arrival till slaughter. ESBL/AmpC-EC were isolated by selective pre-enrichment, and ESBL/AmpC-genes and E. coli phylogenetic groups were determined. Transmission parameters (β) were estimated using a Generalised Linear Model with a susceptible-infectious-susceptible model. Effect of direct broiler contact as compared to contact through the environment and previous carriage c.q. infectious status and their interaction were included as explanatory variables. Multiplying β by the length of the infectious period gives the reproduction ratio (R).","10.1016/j.prevetmed.2016.07.001","doi_invalid",2026-06-25,"Huijbers et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,1.7,"Transmission","Transmission*681"
"Transmission parameter","βpreviously infectious ",NA,NA,NA,NA,"Experimental Field","E. coli","ESBL/AmpC","Chicken","Broiler",NA,NA,"organic broiler flock",NA,NA,NA,0.02,NA,NA,NA,NA,"The aim was quantifying transmission rates and routes of ESBL/AmpC-EC, and specific phylogenetic groups, in an organic broiler flock without antibiotic use. In each of two consecutive production rounds, 80 randomly chosen broilers were followed individually. Cloacal swabs from these, 20 other randomly chosen broilers, and 11 environmental samples were taken at several moments from arrival till slaughter. ESBL/AmpC-EC were isolated by selective pre-enrichment, and ESBL/AmpC-genes and E. coli phylogenetic groups were determined. Transmission parameters (β) were estimated using a Generalised Linear Model with a susceptible-infectious-susceptible model. Effect of direct broiler contact as compared to contact through the environment and previous carriage c.q. infectious status and their interaction were included as explanatory variables. Multiplying β by the length of the infectious period gives the reproduction ratio (R).","10.1016/j.prevetmed.2016.07.001","doi_invalid",2026-06-25,"Huijbers et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,0.02,"Transmission","Transmission*682"
"Transmission parameter","βnot previously infectious",NA,NA,NA,NA,"Experimental Field","E. coli","ESBL/AmpC","Chicken","Broiler",NA,NA,"organic broiler flock",NA,NA,NA,3.41,NA,NA,NA,NA,"The aim was quantifying transmission rates and routes of ESBL/AmpC-EC, and specific phylogenetic groups, in an organic broiler flock without antibiotic use. In each of two consecutive production rounds, 80 randomly chosen broilers were followed individually. Cloacal swabs from these, 20 other randomly chosen broilers, and 11 environmental samples were taken at several moments from arrival till slaughter. ESBL/AmpC-EC were isolated by selective pre-enrichment, and ESBL/AmpC-genes and E. coli phylogenetic groups were determined. Transmission parameters (β) were estimated using a Generalised Linear Model with a susceptible-infectious-susceptible model. Effect of direct broiler contact as compared to contact through the environment and previous carriage c.q. infectious status and their interaction were included as explanatory variables. Multiplying β by the length of the infectious period gives the reproduction ratio (R).","10.1016/j.prevetmed.2016.07.001","doi_invalid",2026-06-25,"Huijbers et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,3.41,"Transmission","Transmission*683"
"Probability of transmission via direct contact","pigs nose-nose contact",NA,NA,NA,NA,"Experimental Stable","E. coli","O157:H7","Pigs; Sheep",NA,NA,"Young adult","100-150 US lbs [~45-68kg] (pigs)",NA,NA,NA,1,NA,NA,NA,NA,"The objective of this study was to determine whether E. coli O157:H7 could be transmitted to naïve animals, both sheep and swine, that did not have any direct contact with an infected donor animal. We recovered E. coli O157:H7 from 10/10 pigs with nose-to-nose contact with the infected donor or animals adjacent to the donor and from 5/6 naïve pigs that were penned in the same room as the donor pig but 10 to 20 ft away. In contrast, when the experiment was repeated with sheep, E. coli O157:H7 was recovered from 4/6 animals that had nose-to-nose contact with the infected donor or adjacent animals and from 0/6 naïve animals penned 10 to 20 ft away from the donor. These results suggest that E. coli O157:H7 is readily transmitted among swine and that transmission can occur by the creation of contaminated aerosols.","10.1128/aem.02897-07","doi_invalid",2026-06-25,"Cornick et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"Transmission","Transmission*684"
"Probability of transmission via direct contact","sheep nose-nose contact",NA,NA,NA,NA,"Experimental Stable","E. coli","O157:H7","Pigs; Sheep",NA,NA,"Young adult","80-120 US lbs[~36-54kg] (sheep)",NA,NA,NA,0.666666666666667,NA,NA,NA,NA,"The objective of this study was to determine whether E. coli O157:H7 could be transmitted to naïve animals, both sheep and swine, that did not have any direct contact with an infected donor animal. We recovered E. coli O157:H7 from 10/10 pigs with nose-to-nose contact with the infected donor or animals adjacent to the donor and from 5/6 naïve pigs that were penned in the same room as the donor pig but 10 to 20 ft away. In contrast, when the experiment was repeated with sheep, E. coli O157:H7 was recovered from 4/6 animals that had nose-to-nose contact with the infected donor or adjacent animals and from 0/6 naïve animals penned 10 to 20 ft away from the donor. These results suggest that E. coli O157:H7 is readily transmitted among swine and that transmission can occur by the creation of contaminated aerosols.","10.1128/aem.02897-07","doi_invalid",2026-06-25,"Cornick et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.666666666666667,"Transmission","Transmission*685"
"Probability of transmission via direct contact","pigs within 3-6m",NA,NA,NA,NA,"Experimental Stable","E. coli","O157:H7","Pigs; Sheep",NA,NA,NA,"100-150 US lbs [~45-68kg] (pigs)",NA,NA,NA,0.833333333333333,NA,NA,NA,NA,"The objective of this study was to determine whether E. coli O157:H7 could be transmitted to naïve animals, both sheep and swine, that did not have any direct contact with an infected donor animal. We recovered E. coli O157:H7 from 10/10 pigs with nose-to-nose contact with the infected donor or animals adjacent to the donor and from 5/6 naïve pigs that were penned in the same room as the donor pig but 10 to 20 ft away. In contrast, when the experiment was repeated with sheep, E. coli O157:H7 was recovered from 4/6 animals that had nose-to-nose contact with the infected donor or adjacent animals and from 0/6 naïve animals penned 10 to 20 ft away from the donor. These results suggest that E. coli O157:H7 is readily transmitted among swine and that transmission can occur by the creation of contaminated aerosols.","10.1128/aem.02897-07","doi_invalid",2026-06-25,"Cornick et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.833333333333333,"Transmission","Transmission*686"
"Probability of transmission via indirect contact","sheep within 3-6m",NA,NA,NA,NA,"Experimental Stable","E. coli","O157:H7","Pigs; Sheep",NA,NA,"Young adult","80-120 US lbs[~36-54kg] (sheep)",NA,NA,NA,0,NA,NA,NA,NA,"The objective of this study was to determine whether E. coli O157:H7 could be transmitted to naïve animals, both sheep and swine, that did not have any direct contact with an infected donor animal. We recovered E. coli O157:H7 from 10/10 pigs with nose-to-nose contact with the infected donor or animals adjacent to the donor and from 5/6 naïve pigs that were penned in the same room as the donor pig but 10 to 20 ft away. In contrast, when the experiment was repeated with sheep, E. coli O157:H7 was recovered from 4/6 animals that had nose-to-nose contact with the infected donor or adjacent animals and from 0/6 naïve animals penned 10 to 20 ft away from the donor. These results suggest that E. coli O157:H7 is readily transmitted among swine and that transmission can occur by the creation of contaminated aerosols.","10.1128/aem.02897-07","doi_invalid",2026-06-25,"Cornick et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0,"Transmission","Transmission*687"
"Transmission parameter","by environmental contamination",NA,"SIS",NA,NA,"Experimental Stable","E. coli","O157:h7","Cattle","Steers",NA,NA,NA,NA,NA,NA,0.038,0.0133,0.09,NA,NA,"A pen infection-transmission experiment was conducted to elucidate the role of pathogen strain and environmental contamination in transmission of Escherichia coli O157:H7 (ECO157) in cattle. Five steers were inoculated with a three-strain mixture of ECO157 and joined with five susceptible steers in each of two experimental replicates. Faecal and environmental samples were monitored for ECO157 presence over 30 days.","10.1017/s0950268814000867","doi_invalid",2026-06-25,"GAUTAM et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.038,"Transmission","Transmission*688"
"Transmission parameter","by environmental contamination",NA,"SIS",NA,NA,"Experimental Stable","E. coli","O157:h7 St2","Cattle","Steers",NA,NA,NA,NA,NA,NA,1.69,0.65,4.37,NA,NA,"A pen infection-transmission experiment was conducted to elucidate the role of pathogen strain and environmental contamination in transmission of Escherichia coli O157:H7 (ECO157) in cattle. Five steers were inoculated with a three-strain mixture of ECO157 and joined with five susceptible steers in each of two experimental replicates. Faecal and environmental samples were monitored for ECO157 presence over 30 days.","10.1017/s0950268814000867","doi_invalid",2026-06-25,"GAUTAM et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,1.69,"Transmission","Transmission*689"
"Transmission parameter","by environmental contamination",NA,"SIS",NA,NA,"Experimental Stable","E. coli","O157:h7","Cattle","Steers","G2",NA,NA,NA,NA,NA,1.56,0.58,4.61,NA,NA,"A pen infection-transmission experiment was conducted to elucidate the role of pathogen strain and environmental contamination in transmission of Escherichia coli O157:H7 (ECO157) in cattle. Five steers were inoculated with a three-strain mixture of ECO157 and joined with five susceptible steers in each of two experimental replicates. Faecal and environmental samples were monitored for ECO157 presence over 30 days.","10.1017/s0950268814000867","doi_invalid",2026-06-25,"GAUTAM et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,1.56,"Transmission","Transmission*690"
"Transmission parameter","by environmental contamination",NA,"SIS",NA,NA,"Experimental Stable","E. coli","O157:h7","Cattle","Steers","E",NA,NA,NA,NA,NA,1.5,1.19,1.9,NA,NA,"A pen infection-transmission experiment was conducted to elucidate the role of pathogen strain and environmental contamination in transmission of Escherichia coli O157:H7 (ECO157) in cattle. Five steers were inoculated with a three-strain mixture of ECO157 and joined with five susceptible steers in each of two experimental replicates. Faecal and environmental samples were monitored for ECO157 presence over 30 days.","10.1017/s0950268814000867","doi_invalid",2026-06-25,"GAUTAM et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,1.5,"Transmission","Transmission*691"
"Transmission parameter",NA,"hour-1","SI/SIS",NA,NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler","Ross 308",NA,NA,NA,NA,NA,0.00031,NA,NA,"Bayesian",NA,"We performed a transmission experiment to quantify the transmission of CPE between broilers to fill this knowledge gap and to compare the transmission rates of CPE and other antibiotic-resistant E. coli.","10.1016/j.prevetmed.2023.105998","doi_invalid",2026-06-25,"Dankittipong et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.00031,"Transmission","Transmission*692"
"Transmission parameter",NA,"hour-1","SI/SIS",NA,NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler","Ross 308",NA,NA,NA,NA,NA,0.0011,NA,NA,"Bayesian",NA,"We performed a transmission experiment to quantify the transmission of CPE between broilers to fill this knowledge gap and to compare the transmission rates of CPE and other antibiotic-resistant E. coli.","10.1016/j.prevetmed.2023.105998","doi_invalid",2026-06-25,"Dankittipong et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.0011,"Transmission","Transmission*693"
