"parameter","test_type","pathogen","host","host_type","host_breed","host_age","host_other","study_type","sample_type","value","lower_cl","upper_cl","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ ampC prom PM","Experimental","Cultured Samples",0.94,0.87,0.98,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*360"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"cefalexin","cefalexin","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*361"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"colistin","mcr1.1","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*362"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"colistin","+ mcr2.1","Experimental","Cultured Samples",0.98,0.92,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*363"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"colistin","+ mcr5.1","Experimental","Cultured Samples",0.98,0.92,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*364"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"apramycin","aac3IV","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*365"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"apramycin","+ aac3IVa","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*366"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","aac3IV","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*367"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IVa","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*368"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IId","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*369"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","aac3IV","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*370"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IVa","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*371"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IId","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*372"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"kanamycin-paromomycin","aph3Ia","Experimental","Cultured Samples",0.97,0.91,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.97,"DiagnosticTest","DiagnosticTest*373"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","aad1","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*374"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad10","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*375"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad12","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*376"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad2","Experimental","Cultured Samples",0.85,0.76,0.92,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.85,"DiagnosticTest","DiagnosticTest*377"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","aad1","Experimental","Cultured Samples",1,0.95,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*378"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad10","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*379"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad12","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*380"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad2","Experimental","Cultured Samples",0.88,0.79,0.95,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.88,"DiagnosticTest","DiagnosticTest*381"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"florfenicol","floR","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*382"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"florfenicol","floR","Experimental","Cultured Samples",1,0.96,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*383"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"doxycycline","tet(A)","Experimental","Cultured Samples",0.96,0.87,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.96,"DiagnosticTest","DiagnosticTest*384"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"doxycycline","+ tet(B)","Experimental","Cultured Samples",0.95,0.85,0.9,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*385"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","tet(A)","Experimental","Cultured Samples",0.98,0.9,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*386"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","+ tet(B)","Experimental","Cultured Samples",0.92,0.81,0.98,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.92,"DiagnosticTest","DiagnosticTest*387"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","tet(A)","Experimental","Cultured Samples",0.98,0.9,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*388"
