"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_short","year","filled_by","parameter_type","id","scale","inoculated_contact","material","test_type","sample_type","time_period","country","sampling_purpose","info_level","plan_implemented","plan_voluntary_compulsary","plan_coverage","country_disease_status","plan_type","last_updated"
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.804,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_87",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_88",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.833,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_89",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.968,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_90",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_91",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.886,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_92",NA,NA,NA,"SIT","Skin (cervical)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.912,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_93",NA,NA,NA,"SIT","Skin (cervical)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.755,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_94",NA,NA,NA,"SIT","Skin (cervical)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_95",NA,NA,NA,"SIT","Skin (cervical)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.744,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_96",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.885,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_97",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.914,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_98",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_99",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.955,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_100",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.686,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_101",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_102",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.941,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_103",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.551,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_104",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.933,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_105",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_106",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.909,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_107",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.909,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_108",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.52,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_109",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_110",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_111",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.935,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_112",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_113",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,99.9,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_114",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,97.8,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_115",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,88.8,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_116",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_117",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_118",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
